"","ensembl_gene_id","gene_biotype","description","logFC","t","pval","padj","entrezgene_id","hgnc_symbol"
"1","ENSG00000188610","protein_coding","family with sequence similarity 72 member B [Source:HGNC Symbol;Acc:HGNC:24805]",0.276824930971215,8.54558084063382,0.00375522336776338,0.00890375272830627,653820,"FAM72B"
"2","ENSG00000263513","protein_coding","family with sequence similarity 72 member C [Source:HGNC Symbol;Acc:HGNC:30602]",-0.385677748770628,7.02570337221589,0.00850610425206981,0.0181788112236639,554282,"FAM72C"
"3","ENSG00000266338","protein_coding","NBPF member 15 [Source:HGNC Symbol;Acc:HGNC:28791]",0.204504217114923,7.54221240909184,0.00642952200543017,0.0142248237023893,284565,"NBPF15"
"4","ENSG00000196369","protein_coding","SLIT-ROBO Rho GTPase activating protein 2B [Source:HGNC Symbol;Acc:HGNC:35237]",0.222443614223048,5.03479435142927,0.0256484286316472,0.0471910120804354,647135,"SRGAP2B"
"5","ENSG00000162825","protein_coding","NBPF member 20 [Source:HGNC Symbol;Acc:HGNC:32000]",-0.242394813479892,10.6322024344271,0.00125309698072165,0.00344256478548483,100288142,"NBPF20"
"6","ENSG00000117262","protein_coding","G protein-coupled receptor 89A [Source:HGNC Symbol;Acc:HGNC:31984]",-0.231751629121238,9.65089581079737,0.0020930453127842,0.00538838639221299,653519,"GPR89A"
"7","ENSG00000174827","protein_coding","PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821]",-0.204873883892936,5.10690750341498,0.0246227034324271,0.045531210842756,5174,"PDZK1"
"8","ENSG00000186141","protein_coding","RNA polymerase III subunit C [Source:HGNC Symbol;Acc:HGNC:30076]",0.148985035318593,7.73710690770862,0.00578841560705486,0.01299266805096,10623,"POLR3C"
"9","ENSG00000272031","protein_coding","ankyrin repeat domain 34A [Source:HGNC Symbol;Acc:HGNC:27639]",-0.244802337675776,18.9661845378625,1.88698748706771e-05,9.43551965918523e-05,284615,"ANKRD34A"
"10","ENSG00000265107","protein_coding","gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]",0.441584010748096,7.81031426866022,0.00556489851132486,0.0125518086672972,2702,"GJA5"
"11","ENSG00000143368","protein_coding","splicing factor 3b subunit 4 [Source:HGNC Symbol;Acc:HGNC:10771]",-0.194168131880098,17.5826515683592,3.72602417639861e-05,0.000168200411706729,10262,"SF3B4"
"12","ENSG00000264522","protein_coding","OTU deubiquitinase 7B [Source:HGNC Symbol;Acc:HGNC:16683]",0.154869574269824,10.9596361306348,0.00105713863951147,0.00296812002632066,56957,"OTUD7B"
"13","ENSG00000136631","protein_coding","vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]",-0.148468310457649,21.6037096491833,5.23325691434943e-06,3.18356462289591e-05,11311,"VPS45"
"14","ENSG00000023902","protein_coding","pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]",-0.199578978235114,9.76740615641688,0.00196882056466296,0.00510084732341347,51177,"PLEKHO1"
"15","ENSG00000159208","protein_coding","circadian associated repressor of transcription [Source:HGNC Symbol;Acc:HGNC:25200]",-0.188506098974244,7.83868002191569,0.00548069108805759,0.0123911941647686,148523,"CIART"
"16","ENSG00000143369","protein_coding","extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]",0.223353029599763,5.48662508415602,0.019884535134426,0.037797972468481,1893,"ECM1"
"17","ENSG00000163156","protein_coding","sodium channel modifier 1 [Source:HGNC Symbol;Acc:HGNC:23136]",-0.193116912143225,12.0504962596519,0.000602137007233776,0.00184083145532295,79005,"SCNM1"
"18","ENSG00000143416","protein_coding","selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]",-0.248750180876729,7.03912730566587,0.00844421057738219,0.0180584424144967,8991,"SELENBP1"
"19","ENSG00000159409","protein_coding","CUGBP Elav-like family member 3 [Source:HGNC Symbol;Acc:HGNC:11967]",-0.227156455588809,7.49456697977789,0.00659706834767102,0.0145478418345838,11189,"CELF3"
"20","ENSG00000143436","protein_coding","mitochondrial ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:14277]",-0.16974472732768,16.2635609605533,7.16571247420448e-05,0.0002936963489048,65005,"MRPL9"
"21","ENSG00000225556","protein_coding","C2 calcium dependent domain containing 4D [Source:HGNC Symbol;Acc:HGNC:37210]",-0.225620658186684,6.94561856455682,0.00888518844989384,0.0188949062536275,100191040,"C2CD4D"
"22","ENSG00000163220","protein_coding","S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]",1.22540130138171,19.6017452216671,1.38298586694037e-05,7.2020144471837e-05,6280,"S100A9"
